"filename", "language", "YAML", "JSON", "Dart", "Markdown", "Properties", "Groovy", "Swift", "C++", "Python", "XML", "HTML", "comment", "blank", "total"
"c:\Users\fabri\Documents\archive\stories\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\fabri\Documents\archive\stories\admin\scripts\firebase\delete_docs.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 10, 7, 23
"c:\Users\fabri\Documents\archive\stories\admin\scripts\firebase\index_stories_for_search.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 12, 49
"c:\Users\fabri\Documents\archive\stories\admin\scripts\firebase\keys\world-stories-collection-firebase-adminsdk-9f29p-dd45a7df50.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\fabri\Documents\archive\stories\admin\scripts\firebase\modify_stories.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 8, 29
"c:\Users\fabri\Documents\archive\stories\admin\scripts\firebase\rate_stories.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 10, 39
"c:\Users\fabri\Documents\archive\stories\admin\scripts\firebase\remove_duplicated_stories.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 2, 11, 44
"c:\Users\fabri\Documents\archive\stories\admin\scripts\firebase\replace_story_tags.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 7, 8, 34
"c:\Users\fabri\Documents\archive\stories\admin\scripts\firebase\reset_stories_authors_tags.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 5, 14, 58
"c:\Users\fabri\Documents\archive\stories\admin\scripts\firebase\story_img_assigner.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 10, 41
"c:\Users\fabri\Documents\archive\stories\admin\scripts\firebase\story_upload.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 18, 89
"c:\Users\fabri\Documents\archive\stories\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\fabri\Documents\archive\stories\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 15, 86
"c:\Users\fabri\Documents\archive\stories\android\app\google-services.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"c:\Users\fabri\Documents\archive\stories\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 1, 8
"c:\Users\fabri\Documents\archive\stories\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 11, 4, 42
"c:\Users\fabri\Documents\archive\stories\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\Users\fabri\Documents\archive\stories\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\Users\fabri\Documents\archive\stories\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\fabri\Documents\archive\stories\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\fabri\Documents\archive\stories\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
