Date : 2021-11-05 14:55:11
Directory : c:\Users\fabri\Documents\archive\stories
Total : 86 files,  2776 codes, 356 comments, 470 blanks, all 3602 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         43 |      1,993 |         47 |        301 |      2,341 |
| JSON       |          9 |        280 |          4 |          3 |        287 |
| XML        |         12 |        136 |         51 |         14 |        201 |
| Groovy     |          3 |        105 |          0 |         24 |        129 |
| HTML       |          1 |         96 |         17 |          9 |        122 |
| Python     |          9 |         95 |        213 |         98 |        406 |
| YAML       |          3 |         46 |         23 |         13 |         82 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| Markdown   |          2 |          4 |          0 |          3 |          7 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                     |         86 |      2,776 |        356 |        470 |      3,602 |
| admin                                                                                                                                 |         10 |        107 |        213 |         99 |        419 |
| admin\scripts                                                                                                                         |         10 |        107 |        213 |         99 |        419 |
| admin\scripts\firebase                                                                                                                |         10 |        107 |        213 |         99 |        419 |
| admin\scripts\firebase\keys                                                                                                           |          1 |         12 |          0 |          1 |         13 |
| android                                                                                                                               |         16 |        227 |         50 |         38 |        315 |
| android\app                                                                                                                           |         12 |        185 |         49 |         27 |        261 |
| android\app\src                                                                                                                       |         10 |         75 |         49 |         12 |        136 |
| android\app\src\debug                                                                                                                 |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                                  |          8 |         67 |         43 |         10 |        120 |
| android\app\src\main\res                                                                                                              |          7 |         40 |         32 |          6 |         78 |
| android\app\src\main\res\drawable                                                                                                     |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                 |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\mipmap-anydpi-v26                                                                                            |          2 |         10 |          0 |          0 |         10 |
| android\app\src\main\res\values                                                                                                       |          2 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                                                                                 |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                               |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                                        |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                                |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                                   |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                                            |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                                            |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                         |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                       |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                 |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                   |         45 |      2,041 |         23 |        294 |      2,358 |
| lib\interface                                                                                                                         |         22 |      1,299 |         10 |        152 |      1,461 |
| lib\interface\shared                                                                                                                  |          4 |        112 |          1 |         21 |        134 |
